                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1595,                 3.0125,                 1.1221,                0.01906,                0.83738,                0.38332,                0.12044,                 2.0298,                 2.9055,                0.98642,             0.00054498,             0.00054498,             0.00054498
                      2,                 1.9588,                 1.9611,                 1.0533,                0.56557,                0.45047,                 0.4907,                 0.2119,                 1.7854,                 1.8233,                0.98537,              0.0010898,              0.0010898,              0.0010898
                      3,                 1.9022,                 1.7921,                 1.0456,                0.55189,                0.62118,                0.57226,                0.25494,                 1.7835,                 1.5867,                0.97256,              0.0016235,              0.0016235,              0.0016235
                      4,                 1.8795,                  1.643,                 1.0375,                0.55268,                0.65234,                  0.588,                0.28679,                 1.6272,                 1.3955,                0.95727,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.8912,                 1.5452,                 1.0397,                 0.6052,                  0.719,                0.66087,                0.31953,                 1.6629,                 1.3735,                0.95628,               0.001601,               0.001601,               0.001601
                      6,                 1.8586,                 1.4861,                 1.0377,                0.61955,                0.73022,                0.67297,                0.30527,                 1.7699,                 1.2534,                0.97852,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.8169,                  1.421,                 1.0232,                0.67281,                0.70218,                0.68787,                0.30999,                 1.6927,                 1.3764,                0.95564,               0.001568,               0.001568,               0.001568
                      8,                 1.7962,                 1.3788,                  1.009,                 0.6296,                0.70156,                0.66378,                0.31731,                 1.6717,                 1.1993,                0.95453,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.8282,                 1.3696,                 1.0239,                0.67449,                0.72274,                0.71484,                0.38994,                 1.4573,                 1.1208,                0.92795,               0.001535,               0.001535,               0.001535
                     10,                 1.7579,                 1.3289,                 1.0011,                0.63362,                0.67664,                0.65358,                0.25362,                 1.8601,                 1.2981,                0.97463,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.7783,                 1.3191,                 1.0091,                0.66301,                0.74704,                0.72833,                0.37082,                 1.5657,                 1.1443,                0.93599,               0.001502,               0.001502,               0.001502
                     12,                 1.7531,                 1.3218,                 1.0015,                0.65583,                0.70717,                0.70003,                0.32611,                 1.7324,                 1.1818,                0.96873,              0.0014855,              0.0014855,              0.0014855
                     13,                  1.758,                 1.2815,                0.99581,                0.67593,                0.71776,                0.71357,                0.36297,                 1.6234,                 1.1306,                0.93999,               0.001469,               0.001469,               0.001469
                     14,                 1.7539,                 1.2618,                0.99264,                0.69357,                0.74601,                0.74835,                0.39131,                 1.5854,                 1.1039,                0.93368,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.7167,                 1.2495,                0.99732,                0.68186,                0.71576,                0.72674,                0.37799,                 1.5368,                 1.1173,                0.92753,               0.001436,               0.001436,               0.001436
                     16,                 1.7478,                 1.2531,                0.99965,                0.68473,                0.73084,                0.72619,                0.38735,                 1.4731,                 1.1478,                0.92195,              0.0014195,              0.0014195,              0.0014195
                     17,                  1.717,                 1.2273,                0.99601,                0.67139,                0.74393,                0.71974,                0.33739,                  1.645,                 1.1209,                0.93842,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.7242,                 1.2436,                0.99987,                0.65475,                0.74206,                0.72033,                0.33737,                 1.6332,                 1.1859,                0.94422,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.7121,                 1.2463,                0.99406,                0.67743,                0.74452,                0.73061,                 0.3642,                 1.5729,                 1.0611,                0.92964,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.6919,                 1.2034,                0.98184,                0.66311,                0.70031,                 0.7051,                0.38088,                 1.5376,                 1.1293,                0.92842,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.7043,                 1.2164,                0.98784,                0.71104,                0.73271,                0.73993,                0.36692,                 1.5747,                 1.0721,                0.92742,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.6896,                 1.1918,                 0.9844,                0.70271,                0.75078,                0.75057,                 0.4036,                 1.4639,                 1.0537,                 0.9121,              0.0013204,              0.0013204,              0.0013204
