                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1702,                 3.7632,                 2.4783,                0.00282,                0.11603,                0.00272,                 0.0008,                 2.1431,                 4.0218,                 1.4312,             0.00064865,             0.00064865,             0.00064865
                      2,                 3.0812,                 3.4765,                 2.3068,                0.00338,                0.13924,                0.00549,                0.00172,                 2.2765,                 3.5365,                 1.5051,              0.0013023,              0.0013023,              0.0013023
                      3,                 2.9943,                 3.3894,                  2.324,                0.01409,                0.07384,                0.00483,                0.00126,                 2.3776,                 55.633,                 2.0295,              0.0019427,              0.0019427,              0.0019427
                      4,                 2.9465,                 3.4272,                 2.3544,                 0.0428,                0.20464,                0.01982,                0.00482,                 2.1529,                 6.0283,                 1.5231,              0.0019406,              0.0019406,              0.0019406
                      5,                 3.0408,                 3.2864,                 2.4192,                0.03611,                0.06118,                0.01128,                0.00268,                 2.2824,                 9.1299,                 1.6232,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.9545,                 3.2613,                 2.4143,                0.09442,                0.06751,                0.03204,                0.00808,                 2.1042,                 2.5208,                  1.435,               0.001901,               0.001901,               0.001901
                      7,                 2.8572,                 3.1324,                 2.3153,                0.04717,                0.05485,                0.01224,                0.00352,                 2.2283,                 13.511,                 1.5235,              0.0018812,              0.0018812,              0.0018812
                      8,                  2.881,                 3.0974,                 2.2951,                0.12593,                 0.0465,                0.03277,                0.00825,                 2.0719,                 3.0642,                 1.3684,              0.0018614,              0.0018614,              0.0018614
                      9,                  2.825,                  3.064,                 2.3091,                0.09768,                0.08861,                0.03768,                0.00835,                 2.1057,                 6.9939,                 1.4263,              0.0018416,              0.0018416,              0.0018416
                     10,                   2.79,                 3.0019,                 2.2403,                0.11157,                0.11814,                0.05386,                0.01194,                  2.082,                 2.3059,                 1.3609,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.8055,                 3.0261,                 2.2527,                0.17414,                 0.0865,                0.06737,                0.01747,                 1.9217,                 1.6954,                 1.2762,               0.001802,               0.001802,               0.001802
