                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  2.119,                  1.724,                 1.3836,                0.39186,                0.37764,                0.30958,                0.11554,                 1.4881,                 1.1623,                0.93075,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.1358,                  1.729,                 1.4044,                 0.4264,                0.38423,                0.35419,                0.13907,                 1.4601,                 1.1058,                0.90898,               0.001307,               0.001307,               0.001307
                     37,                 2.1209,                 1.7528,                  1.385,                0.52528,                0.38985,                0.41291,                0.17518,                  1.325,                 1.0535,                0.86884,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.1056,                 1.7408,                 1.3845,                0.44206,                0.40506,                0.38353,                0.14779,                 1.4157,                 1.0986,                0.88631,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.0908,                 1.7418,                 1.3893,                0.49074,                0.37975,                0.36989,                0.14861,                 1.4189,                 1.0886,                0.89997,              0.0012476,              0.0012476,              0.0012476
                     40,                  2.071,                 1.7261,                 1.3759,                0.52314,                0.37342,                0.39265,                0.15065,                 1.4573,                 1.0535,                0.93101,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.0834,                 1.6948,                 1.3545,                0.45504,                0.36076,                0.35692,                0.14256,                 1.4331,                  1.079,                0.91447,               0.001208,               0.001208,               0.001208
                     42,                 2.0759,                 1.6626,                   1.38,                 0.5289,                 0.3903,                0.40572,                0.16007,                 1.3954,                 1.0636,                0.90786,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.1195,                 1.6969,                  1.373,                0.50634,                0.41561,                0.39875,                0.15398,                 1.4412,                 1.0434,                0.91822,              0.0011684,              0.0011684,              0.0011684
                     44,                 2.0941,                 1.6675,                 1.3776,                0.49424,                0.40084,                 0.4163,                0.17097,                 1.3874,                 1.0375,                0.88638,              0.0011486,              0.0011486,              0.0011486
                     45,                 2.0875,                 1.6685,                 1.3664,                0.55541,                0.37131,                0.40456,                0.15822,                 1.4188,                 1.0897,                0.89281,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.0577,                 1.6405,                 1.3706,                0.52042,                0.39451,                0.41303,                0.17081,                 1.3604,                 1.0271,                0.88561,               0.001109,               0.001109,               0.001109
                     47,                 2.0714,                  1.642,                 1.3762,                0.52496,                0.38186,                0.40173,                 0.1507,                 1.4353,                  1.056,                0.91149,              0.0010892,              0.0010892,              0.0010892
