                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7736,                 3.4152,                 1.7107,                0.24781,                0.20886,                 0.1312,                0.04822,                 1.6039,                 2.3425,                 1.0011,             0.00064865,             0.00064865,             0.00064865
                      2,                  2.415,                 2.5286,                 1.5892,                0.29305,                0.25949,                0.21501,                0.08057,                  1.559,                 3.4537,                0.99169,              0.0013023,              0.0013023,              0.0013023
                      3,                 2.3128,                  2.222,                 1.5337,                 0.3168,                0.27004,                0.20031,                0.08273,                  1.489,                 2.1377,                 1.0438,              0.0019427,              0.0019427,              0.0019427
                      4,                 2.3194,                 2.1088,                 1.4999,                0.34508,                0.32489,                0.25618,                0.10068,                 1.4424,                 2.9878,                0.91998,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.2683,                 2.0306,                 1.5247,                0.37564,                0.33755,                0.28149,                0.10716,                 1.4964,                 1.4446,                 1.0136,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.2533,                 1.9634,                  1.511,                0.40482,                0.31435,                0.29709,                 0.1207,                 1.4478,                  1.573,                0.99621,               0.001901,               0.001901,               0.001901
                      7,                 2.2388,                 1.9186,                 1.4621,                0.42834,                0.35654,                0.31367,                0.12968,                 1.4017,                 1.3139,                0.95462,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.2162,                 1.8813,                 1.4888,                0.39249,                 0.3692,                0.32559,                0.13973,                 1.3901,                 1.6661,                0.92558,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.1934,                 1.8884,                 1.4763,                0.41728,                0.32068,                0.31055,                0.13594,                   1.38,                 1.1292,                0.92796,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.2382,                 1.9215,                 1.4943,                0.42064,                0.33966,                0.32815,                0.13887,                 1.3981,                 1.2596,                0.93147,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.2014,                 1.8367,                 1.4712,                0.40795,                0.37505,                0.30075,                0.13021,                 1.3837,                 2.0095,                0.95706,               0.001802,               0.001802,               0.001802
                     12,                 2.1704,                 1.7901,                  1.455,                0.48328,                0.39241,                0.37021,                0.15557,                 1.3703,                 1.2881,                0.92733,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.1765,                 1.8086,                 1.4651,                0.46388,                0.40084,                0.37454,                0.15855,                 1.3511,                 1.1381,                0.90363,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.1318,                 1.8314,                 1.4609,                0.41809,                0.37553,                0.33603,                 0.1371,                 1.3924,                 1.1052,                0.92547,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.1388,                 1.7841,                 1.4491,                0.43387,                0.34388,                0.34046,                0.15334,                 1.3597,                 1.1498,                0.90844,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.1339,                 1.7697,                 1.4422,                 0.4339,                0.37553,                0.34752,                0.14599,                 1.3616,                 1.1108,                0.92341,               0.001703,               0.001703,               0.001703
                     17,                 2.1628,                 1.7788,                 1.4421,                0.50072,                0.41772,                0.39683,                 0.1582,                 1.3578,                 1.3096,                0.92243,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.1174,                  1.763,                 1.4389,                0.50645,                0.37975,                0.37343,                0.15864,                 1.3631,                 1.3021,                0.91717,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.1444,                 1.7656,                 1.4625,                0.46668,                0.38819,                0.36153,                0.15192,                  1.378,                 1.0727,                0.94013,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.1368,                 1.7509,                 1.4299,                0.48194,                0.40084,                 0.3996,                0.17624,                 1.3333,                 1.0661,                0.91823,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.1104,                 1.7272,                  1.414,                0.49867,                0.38186,                0.37579,                0.15679,                 1.3591,                 1.0843,                 0.9092,               0.001604,               0.001604,               0.001604
                     22,                 2.1059,                 1.6927,                 1.4147,                0.50109,                0.38186,                0.37874,                0.17265,                 1.3258,                  1.314,                0.86739,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.0905,                 1.7038,                 1.4179,                0.50831,                0.40717,                0.40857,                0.17983,                  1.308,                 1.3187,                0.90106,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.1166,                 1.7116,                 1.4234,                0.39244,                  0.327,                0.28299,                 0.1211,                 1.3649,                 1.3405,                0.95901,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.1246,                 1.7365,                 1.4125,                0.50168,                0.39662,                0.38682,                0.15821,                 1.3773,                   1.05,                0.90894,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.0924,                 1.6848,                 1.4125,                  0.506,                0.36521,                 0.3827,                0.15311,                 1.3673,                 1.0391,                0.91769,               0.001505,               0.001505,               0.001505
                     27,                 2.1319,                 1.6943,                 1.4374,                0.48155,                0.40295,                0.39761,                0.16333,                 1.3285,                 1.9191,                0.92313,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.1211,                 1.6951,                 1.4187,                0.50917,                0.41139,                0.41698,                0.17823,                 1.3154,                 1.0353,                0.89808,              0.0014654,              0.0014654,              0.0014654
                     29,                 2.1072,                 1.6889,                 1.4255,                0.49444,                0.40084,                0.37596,                0.15838,                 1.3719,                 1.0553,                0.93697,              0.0014456,              0.0014456,              0.0014456
                     30,                  2.079,                 1.6688,                 1.4055,                  0.537,                0.41353,                0.42398,                0.17556,                  1.318,                  1.028,                0.89582,              0.0014258,              0.0014258,              0.0014258
                     31,                 2.0688,                 1.6677,                 1.3997,                0.46034,                0.41561,                0.40524,                 0.1724,                 1.3035,                  1.052,                0.87461,               0.001406,               0.001406,               0.001406
                     32,                  2.085,                 1.6518,                  1.395,                0.45076,                0.43112,                0.38649,                0.16364,                 1.3392,                 1.0558,                0.90986,              0.0013862,              0.0013862,              0.0013862
                     33,                  2.089,                  1.657,                  1.414,                0.51867,                0.38421,                0.41242,                0.18497,                  1.278,                 1.0136,                 0.8783,              0.0013664,              0.0013664,              0.0013664
                     34,                   2.05,                 1.6442,                 1.4012,                0.51519,                0.39906,                0.38923,                0.16765,                  1.327,                 1.0162,                0.92346,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.0699,                 1.6539,                 1.3954,                0.51805,                0.43249,                0.43553,                 0.1848,                 1.3112,                0.99025,                 0.8957,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.0649,                 1.6341,                 1.4137,                0.49759,                0.40717,                0.41796,                0.17946,                 1.2908,                 1.0462,                0.88189,               0.001307,               0.001307,               0.001307
