                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9789,                 3.6565,                 2.0017,                0.00733,                0.30169,                0.00556,                 0.0018,                 1.8702,                 4.2246,                 1.0252,             0.00064865,             0.00064865,             0.00064865
                      2,                 2.5246,                 2.8005,                 1.6639,                0.30002,                0.05274,                0.05432,                0.02089,                    1.7,                 3.2019,                 1.0258,              0.0013088,              0.0013088,              0.0013088
                      3,                  2.459,                 2.5431,                 1.6392,                0.22897,                0.12025,                  0.092,                0.03298,                  1.703,                 2.8506,                  1.279,              0.0019624,              0.0019624,              0.0019624
                      4,                 2.4361,                 2.3496,                 1.5869,                0.22535,                0.21519,                0.13392,                  0.049,                 1.6298,                 8.6684,                 1.1183,              0.0019703,              0.0019703,              0.0019703
                      5,                  2.378,                 2.2598,                  1.568,                0.32157,                0.22996,                0.20274,                 0.0777,                 1.5545,                  4.205,                0.97226,              0.0019604,              0.0019604,              0.0019604
                      6,                 2.3252,                 2.1654,                 1.5504,                0.38654,                0.30707,                0.24052,                0.09041,                 1.4983,                 2.8207,                 1.0043,              0.0019505,              0.0019505,              0.0019505
                      7,                 2.3007,                 2.0681,                 1.5181,                0.34506,                0.28788,                 0.2382,                0.08991,                 1.4658,                 2.1632,                0.96126,              0.0019406,              0.0019406,              0.0019406
                      8,                 2.3251,                 2.0582,                 1.5553,                0.36755,                0.31646,                0.26317,                0.10078,                 1.4307,                 4.2446,                0.94394,              0.0019307,              0.0019307,              0.0019307
                      9,                 2.2768,                 2.0068,                  1.519,                0.29824,                0.27637,                0.22014,                0.08323,                 1.5049,                 1.3634,                0.97328,              0.0019208,              0.0019208,              0.0019208
                     10,                 2.3059,                 2.0111,                 1.5124,                0.40103,                0.29958,                 0.2579,                 0.0991,                 1.4801,                 1.8771,                0.97048,              0.0019109,              0.0019109,              0.0019109
                     11,                 2.2444,                  1.928,                 1.4925,                0.32977,                0.30169,                0.24532,                0.09634,                   1.46,                 1.7556,                0.98918,               0.001901,               0.001901,               0.001901
                     12,                 2.2383,                 1.9263,                 1.4766,                0.46003,                0.35769,                0.34036,                0.13107,                 1.4535,                 1.3278,                 0.9779,              0.0018911,              0.0018911,              0.0018911
                     13,                 2.2461,                 1.9097,                 1.4934,                0.44652,                0.30169,                0.31364,                0.13094,                  1.397,                 1.1844,                0.93971,              0.0018812,              0.0018812,              0.0018812
                     14,                 2.2157,                 1.9463,                 1.5155,                0.44326,                0.34388,                0.32627,                0.13203,                 1.3874,                 1.1706,                 0.9197,              0.0018713,              0.0018713,              0.0018713
                     15,                 2.2168,                 1.8997,                 1.4698,                0.39813,                0.35021,                0.31011,                0.12092,                 1.4429,                 1.3639,                0.94363,              0.0018614,              0.0018614,              0.0018614
                     16,                 2.2323,                 1.9351,                  1.482,                 0.4256,                0.35172,                0.31424,                0.12226,                 1.4687,                 1.1669,                0.93323,              0.0018515,              0.0018515,              0.0018515
                     17,                 2.2162,                 1.8831,                 1.4751,                0.45632,                0.37131,                0.34314,                0.13312,                 1.4258,                 1.1437,                0.91836,              0.0018416,              0.0018416,              0.0018416
                     18,                 2.1764,                 1.8552,                 1.4676,                0.41119,                0.36498,                0.31311,                0.13334,                 1.3879,                 1.3617,                0.89886,              0.0018317,              0.0018317,              0.0018317
                     19,                  2.194,                 1.8454,                 1.4584,                0.42388,                0.33838,                 0.3151,                0.12985,                 1.4048,                 1.1529,                0.92146,              0.0018218,              0.0018218,              0.0018218
                     20,                 2.2156,                 1.8829,                   1.44,                0.39321,                0.32068,                 0.2926,                0.12713,                 1.3946,                 1.2228,                0.94344,              0.0018119,              0.0018119,              0.0018119
                     21,                 2.1765,                 1.8322,                 1.4469,                0.40047,                0.39873,                0.32495,                0.13532,                 1.4054,                 1.2649,                0.93151,               0.001802,               0.001802,               0.001802
                     22,                 2.1672,                 1.7763,                 1.4225,                0.46146,                0.36498,                 0.3713,                0.15275,                 1.3627,                 1.1739,                0.90501,              0.0017921,              0.0017921,              0.0017921
                     23,                 2.1566,                 1.7848,                 1.4572,                0.44283,                0.36076,                0.33134,                0.14284,                 1.3714,                 1.1507,                0.89892,              0.0017822,              0.0017822,              0.0017822
                     24,                 2.1773,                 1.8205,                   1.42,                0.44933,                0.35654,                0.32653,                0.14269,                 1.3777,                 1.1085,                0.90743,              0.0017723,              0.0017723,              0.0017723
                     25,                 2.1924,                 1.7986,                 1.4327,                0.45225,                0.31224,                0.29976,                0.12461,                 1.4111,                 1.2077,                0.90849,              0.0017624,              0.0017624,              0.0017624
                     26,                 2.1487,                 1.7346,                 1.4256,                0.46313,                0.36581,                0.35112,                0.14171,                 1.4079,                 1.0996,                0.92929,              0.0017525,              0.0017525,              0.0017525
                     27,                 2.1886,                 1.8096,                  1.467,                0.46577,                0.42673,                0.39074,                0.16247,                 1.3314,                 1.0951,                 0.9096,              0.0017426,              0.0017426,              0.0017426
                     28,                 2.1842,                 1.7909,                 1.4425,                 0.4638,                0.39964,                0.38786,                0.16191,                 1.3442,                 1.0973,                  0.911,              0.0017327,              0.0017327,              0.0017327
                     29,                 2.1512,                 1.7905,                 1.4392,                0.49435,                0.38397,                0.36374,                0.16084,                 1.3385,                 1.0627,                0.90717,              0.0017228,              0.0017228,              0.0017228
                     30,                   2.13,                 1.7554,                 1.4248,                0.44341,                0.38488,                 0.3717,                0.14695,                 1.3745,                 1.1007,                0.92332,              0.0017129,              0.0017129,              0.0017129
                     31,                 2.1211,                 1.7585,                 1.4246,                0.49334,                0.39451,                0.37188,                0.14916,                 1.3829,                 1.2051,                0.90143,               0.001703,               0.001703,               0.001703
                     32,                  2.134,                 1.7268,                 1.4208,                 0.4508,                0.36498,                0.34301,                0.14655,                 1.3701,                 1.1483,                0.89589,              0.0016931,              0.0016931,              0.0016931
                     33,                 2.1497,                 1.7821,                 1.4337,                0.46263,                0.37342,                0.36006,                0.15165,                 1.3638,                 1.1101,                0.88072,              0.0016832,              0.0016832,              0.0016832
                     34,                 2.1254,                 1.7352,                 1.4098,                 0.4475,                0.40295,                 0.3649,                0.15308,                 1.3601,                 1.0709,                0.89682,              0.0016733,              0.0016733,              0.0016733
                     35,                 2.0891,                 1.7156,                 1.3804,                0.48123,                0.40084,                0.39714,                0.16812,                 1.3517,                 1.0778,                0.88288,              0.0016634,              0.0016634,              0.0016634
                     36,                 2.1048,                 1.7353,                 1.4019,                0.51158,                0.37764,                0.40422,                0.17512,                 1.3182,                 1.0561,                0.89345,              0.0016535,              0.0016535,              0.0016535
                     37,                 2.1529,                 1.7443,                 1.4236,                0.51232,                0.36709,                0.39297,                0.16321,                 1.3493,                 1.1923,                0.88886,              0.0016436,              0.0016436,              0.0016436
                     38,                  2.116,                 1.7266,                 1.4226,                0.43111,                0.31646,                0.33861,                0.14063,                 1.3686,                  1.175,                0.88744,              0.0016337,              0.0016337,              0.0016337
                     39,                 2.1046,                 1.7108,                 1.3907,                0.49351,                0.35654,                0.35866,                 0.1527,                 1.3612,                 1.1216,                0.89643,              0.0016238,              0.0016238,              0.0016238
                     40,                 2.0784,                 1.6523,                 1.3922,                0.45516,                0.40295,                0.39476,                0.16124,                 1.3702,                   1.05,                0.89298,              0.0016139,              0.0016139,              0.0016139
                     41,                 2.0977,                 1.6758,                 1.4073,                 0.4711,                0.42405,                0.39908,                0.16519,                 1.3816,                 1.0607,                 0.9124,               0.001604,               0.001604,               0.001604
                     42,                 2.0904,                 1.6817,                 1.3869,                0.44383,                0.38186,                0.37921,                  0.159,                 1.3574,                 1.1147,                 0.8811,              0.0015941,              0.0015941,              0.0015941
                     43,                 2.0794,                   1.62,                 1.3846,                0.52997,                0.42616,                0.40633,                0.17372,                   1.33,                 1.0397,                0.88895,              0.0015842,              0.0015842,              0.0015842
                     44,                 2.0675,                 1.6305,                 1.3752,                0.49059,                0.41772,                0.39611,                0.16615,                 1.3431,                 1.0346,                0.87769,              0.0015743,              0.0015743,              0.0015743
                     45,                 2.0912,                  1.689,                 1.4006,                0.50419,                0.40977,                0.40423,                0.17563,                 1.3085,                 1.0142,                0.88286,              0.0015644,              0.0015644,              0.0015644
                     46,                 2.0709,                 1.6123,                 1.3826,                0.49036,                0.40717,                0.39196,                0.16344,                 1.3722,                 1.0349,                0.91222,              0.0015545,              0.0015545,              0.0015545
                     47,                  2.054,                 1.6292,                 1.3793,                0.47986,                0.42041,                0.40643,                0.16776,                 1.3286,                 1.0658,                0.87127,              0.0015446,              0.0015446,              0.0015446
                     48,                 2.0646,                 1.6212,                 1.3805,                0.53672,                0.40717,                0.42394,                0.18753,                  1.317,                0.99926,                0.87278,              0.0015347,              0.0015347,              0.0015347
                     49,                 2.0913,                 1.6514,                 1.4009,                0.51765,                0.40084,                0.40091,                0.15976,                 1.3701,                 1.0343,                0.91828,              0.0015248,              0.0015248,              0.0015248
                     50,                 2.1105,                 1.6714,                 1.3935,                0.49232,                0.43671,                0.41024,                0.17224,                 1.3427,                 1.0786,                0.88184,              0.0015149,              0.0015149,              0.0015149
