                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8984,                 3.4187,                 1.9211,                0.00328,                0.13502,                0.00346,                 0.0016,                 2.0233,                  4.037,                 0.9721,             0.00064865,             0.00064865,             0.00064865
                      2,                 2.4482,                 2.4518,                 1.5469,                0.50659,                0.03376,                0.05557,                0.01877,                 1.6612,                 3.5515,                 1.0203,              0.0013023,              0.0013023,              0.0013023
                      3,                 2.3685,                  2.258,                 1.4852,                0.24287,                0.11392,                0.07878,                0.02866,                 1.5836,                 3.0104,                 1.0704,              0.0019427,              0.0019427,              0.0019427
                      4,                 2.3024,                   2.12,                 1.4814,                 0.2468,                0.26582,                0.16724,                0.05873,                  1.514,                 2.3243,                 1.0425,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.2804,                 2.0231,                  1.469,                0.37633,                0.27637,                0.25869,                0.09906,                 1.5173,                 2.6234,                0.99902,              0.0019208,              0.0019208,              0.0019208
                      6,                  2.239,                 1.9614,                 1.4392,                0.41214,                0.32911,                0.32821,                0.12505,                 1.4479,                 3.5921,                0.93494,               0.001901,               0.001901,               0.001901
                      7,                 2.2223,                 1.8896,                 1.4152,                0.31318,                 0.2827,                 0.2182,                0.08572,                 1.4398,                 1.6547,                 0.9421,              0.0018812,              0.0018812,              0.0018812
                      8,                  2.206,                 1.8527,                 1.4243,                 0.4121,                0.36709,                0.31135,                0.10809,                 1.4856,                 2.5962,                0.97923,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.1884,                 1.8271,                 1.4094,                0.36977,                0.30821,                0.25784,                 0.0927,                 1.4673,                 2.8723,                0.99635,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.1696,                 1.7923,                 1.4114,                0.47663,                0.33544,                0.33538,                0.12638,                 1.4496,                 1.1898,                0.94348,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.2023,                 1.7569,                 1.3893,                0.47617,                0.36437,                 0.3281,                0.12471,                 1.4242,                 4.3309,                0.93803,               0.001802,               0.001802,               0.001802
                     12,                 2.1552,                 1.7067,                 1.4078,                0.44213,                0.35654,                0.31569,                0.12794,                 1.4111,                 7.4359,                0.93293,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.1405,                 1.6843,                 1.3628,                0.48353,                0.35948,                0.34545,                0.13897,                 1.4112,                 1.3187,                0.90699,              0.0017624,              0.0017624,              0.0017624
                     14,                   2.15,                 1.7321,                 1.3905,                0.37995,                0.33966,                0.29408,                0.11294,                 1.4815,                   1.17,                0.99168,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.1404,                 1.7109,                 1.3794,                0.43495,                0.36076,                0.34711,                0.13502,                 1.3795,                 1.1538,                0.90431,              0.0017228,              0.0017228,              0.0017228
                     16,                  2.119,                 1.6727,                 1.3911,                0.39069,                0.36287,                0.31025,                0.12527,                 1.3811,                 1.1712,                0.87603,               0.001703,               0.001703,               0.001703
                     17,                 2.0891,                 1.6657,                 1.3393,                0.51128,                0.35232,                0.35624,                0.14736,                 1.3845,                 1.1127,                0.91104,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.0353,                 1.6266,                 1.3379,                0.44684,                0.36287,                0.33843,                0.14335,                 1.3941,                 1.1499,                0.90226,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.0922,                 1.6527,                 1.3524,                0.43264,                0.35443,                0.34783,                0.14283,                 1.3746,                  1.287,                0.88742,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.0831,                  1.645,                 1.3455,                0.44424,                0.38819,                0.37532,                0.14964,                 1.3555,                 1.1071,                0.90628,              0.0016238,              0.0016238,              0.0016238
