                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9295,                 2.4237,                 1.6556,                0.56682,                0.50992,                0.52977,                0.23915,                  1.857,                 2.1091,                 1.5706,             0.00066026,             0.00066026,             0.00066026
                      2,                  1.817,                 1.7542,                   1.54,                0.61031,                0.62887,                0.58878,                0.25358,                 1.8141,                 3.9591,                 1.6461,              0.0013138,              0.0013138,              0.0013138
                      3,                 1.8209,                 1.5733,                 1.5512,                0.68653,                0.61237,                0.66482,                0.30998,                  1.872,                 1.4458,                 1.6154,              0.0019541,              0.0019541,              0.0019541
                      4,                 1.8648,                 1.4574,                 1.5967,                0.65289,                0.63454,                0.64473,                0.31732,                 1.7932,                 1.4112,                 1.5866,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.7853,                 1.3981,                 1.5532,                0.67154,                0.62917,                0.65233,                0.31364,                 1.7975,                 1.4443,                 1.6572,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.7753,                 1.3422,                 1.5827,                0.71729,                0.71649,                0.73333,                0.35521,                 1.7827,                 1.1989,                 1.6076,               0.001901,               0.001901,               0.001901
                      7,                 1.7667,                 1.3164,                 1.5536,                0.71911,                0.69072,                0.71292,                0.35011,                 1.7761,                 1.2607,                 1.5682,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.7559,                 1.3251,                 1.5374,                0.75373,                0.70464,                0.74621,                0.37198,                 1.7206,                 1.2634,                 1.5523,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.7337,                 1.2861,                 1.5314,                0.70546,                0.70618,                0.71742,                0.35925,                 1.7297,                 1.2973,                 1.5636,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.7325,                  1.244,                 1.5202,                0.75701,                0.70773,                0.73926,                0.37438,                 1.7124,                 1.1975,                 1.5608,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.7214,                 1.2404,                 1.5242,                0.75288,                0.66742,                 0.7292,                0.37611,                 1.6818,                  1.183,                 1.5348,               0.001802,               0.001802,               0.001802
                     12,                 1.7176,                 1.2253,                 1.5187,                 0.7256,                0.70155,                 0.7386,                0.36149,                 1.7728,                 1.2218,                 1.6111,              0.0017822,              0.0017822,              0.0017822
                     13,                  1.735,                 1.2432,                 1.5373,                0.75087,                0.70258,                 0.7453,                 0.3831,                 1.7284,                 1.1629,                 1.5728,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.7163,                 1.2094,                 1.5234,                0.73592,                0.71681,                0.73567,                0.36578,                 1.6935,                 1.3073,                 1.5469,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.7006,                 1.2066,                 1.5354,                0.75898,                0.71959,                0.75496,                0.38251,                 1.7147,                 1.1708,                 1.5642,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.7085,                 1.1966,                 1.5132,                0.75978,                0.73299,                0.76061,                0.39426,                 1.7066,                 1.1131,                  1.552,               0.001703,               0.001703,               0.001703
                     17,                 1.6993,                 1.1676,                 1.4978,                0.75279,                0.72834,                0.76611,                0.38546,                 1.7422,                 1.0879,                 1.5618,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.6926,                 1.1886,                 1.4997,                0.76303,                0.70258,                0.75426,                0.39265,                  1.678,                 1.1344,                 1.5598,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.6877,                 1.2152,                 1.5139,                0.75124,                0.71134,                0.75837,                0.39359,                 1.6917,                 1.0987,                 1.5383,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.6905,                 1.1825,                 1.5199,                0.77369,                0.71192,                0.76653,                0.40074,                 1.6768,                 1.0973,                 1.5563,              0.0016238,              0.0016238,              0.0016238
                     21,                  1.677,                 1.1707,                 1.5112,                0.75162,                0.73402,                0.76374,                0.39248,                 1.7029,                 1.0873,                 1.5456,               0.001604,               0.001604,               0.001604
                     22,                 1.6805,                 1.1756,                 1.5142,                0.75471,                0.69943,                0.75106,                0.38529,                 1.6878,                 1.1443,                 1.5534,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.6823,                 1.1735,                 1.5058,                0.75526,                0.71582,                0.75752,                0.38425,                  1.695,                 1.0816,                 1.5322,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.6677,                 1.1309,                 1.4973,                0.74944,                0.73697,                0.76328,                0.38958,                 1.7142,                 1.1084,                 1.5502,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.6718,                 1.1479,                 1.4968,                0.76891,                 0.7272,                0.77037,                0.40671,                 1.6627,                 1.0691,                 1.5328,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.6624,                 1.1375,                 1.5038,                0.75771,                0.72732,                0.77605,                0.40556,                 1.6671,                 1.0691,                 1.5471,               0.001505,               0.001505,               0.001505
                     27,                 1.6743,                 1.1532,                  1.509,                0.76866,                0.72062,                0.76833,                0.40098,                 1.6816,                 1.0565,                 1.5386,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.6716,                 1.1437,                 1.5097,                0.75237,                0.73139,                0.76884,                 0.3972,                 1.6997,                   1.08,                 1.5538,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.6378,                 1.0882,                 1.4696,                0.76419,                0.71831,                0.76594,                 0.4021,                 1.6908,                 1.0878,                 1.5579,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.6471,                 1.1168,                  1.485,                0.75796,                0.71907,                0.76113,                0.39531,                 1.6855,                 1.0584,                  1.541,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.6497,                 1.1073,                 1.4803,                0.76064,                0.73299,                0.76866,                0.40182,                 1.6595,                 1.0838,                 1.5417,               0.001406,               0.001406,               0.001406
                     32,                 1.6477,                 1.1313,                 1.4975,                0.75208,                0.74124,                0.77562,                0.40515,                 1.6916,                 1.0401,                 1.5651,              0.0013862,              0.0013862,              0.0013862
