                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2344,                 3.8617,                 2.3239,                0.06317,                0.05696,                0.02749,                0.01109,                 1.9059,                 6.0107,                 1.1099,             0.00064865,             0.00064865,             0.00064865
                      2,                 2.7813,                 2.7711,                 1.7338,                0.24714,                0.11814,                0.09637,                0.03493,                 1.6938,                 2.2319,                 1.0397,              0.0013023,              0.0013023,              0.0013023
                      3,                 2.5263,                 2.4363,                 1.6449,                0.24148,                 0.1962,                0.12435,                0.04196,                 1.7182,                  1.777,                 1.0788,              0.0019427,              0.0019427,              0.0019427
                      4,                 2.4628,                  2.265,                 1.5849,                0.31473,                0.23629,                0.19929,                 0.0712,                 1.5958,                  1.668,                0.96075,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.4033,                 2.1306,                 1.5215,                0.36506,                0.28059,                0.25543,                0.09649,                  1.521,                 1.2624,                0.96566,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.3537,                 2.0558,                 1.5123,                0.33313,                0.30879,                0.24971,                0.09601,                 1.4819,                 1.2397,                0.96762,               0.001901,               0.001901,               0.001901
                      7,                 2.3054,                 2.0001,                  1.476,                0.40525,                0.30619,                0.28798,                0.11309,                 1.4661,                 1.1925,                0.94417,              0.0018812,              0.0018812,              0.0018812
                      8,                  2.328,                 2.0084,                 1.5038,                0.32267,                0.26793,                0.22666,                0.09348,                 1.4886,                 1.2652,                0.92416,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.2803,                  1.948,                  1.458,                0.37483,                 0.2827,                0.25319,                0.10367,                 1.4429,                 1.2162,                0.90885,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.2964,                 1.9591,                 1.4658,                0.36612,                0.29747,                0.25691,                0.10129,                 1.4485,                 1.2178,                0.91818,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.2344,                 1.9059,                 1.4361,                0.37244,                0.32068,                0.27037,                0.11474,                 1.4418,                 1.1938,                0.91473,               0.001802,               0.001802,               0.001802
                     12,                 2.2656,                 1.8826,                 1.4591,                0.36657,                0.34599,                0.29741,                0.12221,                 1.4181,                 1.1717,                0.91768,              0.0017822,              0.0017822,              0.0017822
                     13,                  2.253,                 1.8639,                 1.4515,                0.36431,                0.30347,                0.27771,                0.11705,                 1.4399,                 1.1762,                0.91102,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.2139,                 1.8709,                 1.4595,                0.39063,                0.28692,                0.27241,                0.11128,                  1.436,                  1.212,                0.94444,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.1858,                  1.833,                 1.4305,                0.39302,                0.31435,                0.28584,                0.10948,                 1.4545,                  1.316,                0.91467,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.1794,                 1.8441,                 1.4226,                0.40807,                0.35443,                0.31852,                0.13588,                  1.397,                 1.0944,                0.89474,               0.001703,               0.001703,               0.001703
                     17,                 2.2128,                 1.8177,                 1.4133,                0.43832,                0.36709,                0.33866,                0.14045,                 1.4097,                 1.1229,                0.89857,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.1778,                 1.8028,                 1.4116,                0.41702,                0.32278,                0.30251,                0.12459,                 1.4423,                 1.1381,                0.90925,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.1878,                 1.7777,                  1.425,                  0.408,                0.32489,                0.31034,                0.12883,                 1.3911,                 1.1418,                0.89252,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.1963,                 1.7649,                 1.4219,                0.46514,                0.31857,                0.32465,                0.12943,                 1.4238,                  1.131,                0.89535,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.1863,                 1.7572,                 1.4173,                 0.4453,                0.37131,                0.33601,                0.13872,                 1.3952,                 1.0884,                0.92193,               0.001604,               0.001604,               0.001604
                     22,                  2.163,                 1.7362,                 1.4017,                0.41593,                0.35232,                0.32576,                0.13756,                 1.3761,                 1.2541,                0.88978,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.1604,                 1.7582,                 1.4162,                0.40193,                0.33544,                0.30272,                0.12761,                  1.377,                 1.6307,                0.87195,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.1557,                 1.7608,                 1.3946,                 0.4497,                0.35021,                0.34199,                0.13499,                 1.3907,                 1.0879,                0.89902,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.1677,                 1.7425,                 1.4015,                0.47171,                0.32068,                0.32535,                0.12176,                 1.4568,                 1.1111,                0.91946,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.1614,                 1.7177,                  1.415,                0.45208,                0.37773,                0.35126,                0.14984,                 1.3568,                 1.0715,                0.89924,               0.001505,               0.001505,               0.001505
                     27,                 2.1615,                 1.7644,                 1.4153,                0.47736,                0.37342,                0.36262,                0.15273,                  1.362,                 1.0726,                0.89793,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.1881,                 1.7286,                 1.4076,                0.49745,                0.37589,                0.38613,                0.16349,                 1.3585,                 1.0361,                0.89125,              0.0014654,              0.0014654,              0.0014654
                     29,                 2.1625,                 1.7074,                 1.4061,                0.53344,                0.36424,                0.37698,                0.16887,                 1.3544,                 1.0181,                0.90744,              0.0014456,              0.0014456,              0.0014456
                     30,                 2.1004,                 1.6842,                 1.3638,                0.40969,                0.32212,                0.29829,                0.12378,                 1.4004,                  1.149,                0.88483,              0.0014258,              0.0014258,              0.0014258
