                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9776,                 3.7175,                 2.0395,                0.00446,                0.18354,                0.00787,                0.00201,                 1.8405,                 3.9195,                 1.0595,             0.00064865,             0.00064865,             0.00064865
                      2,                 2.5419,                 2.7641,                 1.6601,                0.15754,                0.04219,                0.03273,                0.00999,                 1.6129,                 3.1181,                 1.0136,              0.0013023,              0.0013023,              0.0013023
                      3,                 2.4442,                 2.5225,                  1.619,                0.19707,                0.14447,                0.08931,                 0.0307,                 1.7535,                 36.537,                 1.3508,              0.0019427,              0.0019427,              0.0019427
                      4,                 2.4111,                 2.3531,                 1.5627,                0.24204,                0.17511,                0.11822,                0.04099,                 1.6113,                 56.719,                 1.1099,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.3707,                 2.2068,                 1.5567,                0.32877,                0.28059,                0.23821,                0.08721,                 1.5363,                 2.2884,                 1.0321,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.2954,                 2.1414,                  1.515,                0.36782,                0.28059,                0.21036,                0.07733,                 1.4962,                 1.7844,                0.96125,               0.001901,               0.001901,               0.001901
                      7,                 2.2953,                 2.0646,                  1.501,                0.35793,                0.35283,                0.28358,                0.10842,                 1.4687,                  1.422,                0.94843,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.2645,                 2.0204,                 1.4962,                0.38919,                0.37342,                0.31453,                0.11774,                 1.4425,                 1.3617,                0.94024,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.2329,                 1.9829,                 1.4905,                0.34201,                0.31013,                 0.2613,                0.09908,                 1.4539,                 3.1193,                0.97023,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.2424,                 2.0337,                 1.4892,                0.39401,                0.30802,                0.25839,                0.10722,                 1.4376,                 1.3712,                0.93433,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.2165,                 1.9543,                 1.4502,                0.43851,                0.32489,                0.30723,                0.11466,                 1.4746,                 1.1899,                0.97355,               0.001802,               0.001802,               0.001802
